model_size,corruption,severity,enhancement,n,abs_rel,rmse,delta1,abs_rel_near_field_0.25_0.70m,rmse_near_field_0.25_0.70m,delta1_near_field_0.25_0.70m,near_field_pixel_count_total
large,low_light,1,none,80,0.10173643841408193,0.5476059404667467,0.8897598575587049,,,,0
large,low_light,1,clahe,80,0.10332724270410835,0.5374689556192607,0.8864754919356684,,,,0
large,low_light,1,zero_dce,80,0.10430060457438231,0.5595574190840125,0.883810515066692,,,,0
large,low_light,3,none,80,0.18526138975284995,0.7207796020433307,0.7371144205729167,,,,0
large,low_light,3,clahe,80,0.19402430788613856,0.7401044718921185,0.7246598307291666,,,,0
large,low_light,3,zero_dce,80,0.1856445879675448,0.7154740506783128,0.7369077962239583,,,,0
large,low_light,5,none,80,0.3103298367932439,1.0048786785453558,0.4910759684244792,,,,0
large,low_light,5,clahe,80,0.29952655639499426,0.9783141786232591,0.5197789713541667,,,,0
large,low_light,5,zero_dce,80,0.3092013576999307,1.001897900365293,0.4939158121744792,,,,0
large,indoor_haze,1,none,80,0.11404678996186704,0.5343519415706396,0.8658896484374999,,,,0
large,indoor_haze,1,clahe,80,0.11115011458750815,0.5267986008897424,0.8673428955078124,,,,0
large,indoor_haze,1,zero_dce,80,0.191392129403539,0.7606678625103086,0.7547548421223959,,,,0
large,indoor_haze,3,none,80,0.17258405881002545,0.7450126023963094,0.7580376383463542,,,,0
large,indoor_haze,3,clahe,80,0.16602605681400745,0.7119079533033073,0.7635967203776042,,,,0
large,indoor_haze,3,zero_dce,80,0.25584892798215153,0.9064948085229844,0.6384009602864583,,,,0
large,indoor_haze,5,none,80,0.22445106250233948,0.8769011090043932,0.6744470621744791,,,,0
large,indoor_haze,5,clahe,80,0.20530507483053953,0.8272256591822952,0.7116014811197917,,,,0
large,indoor_haze,5,zero_dce,80,0.27120575713925066,0.9288965088315309,0.605189697265625,,,,0
large,sensor_noise,1,none,80,0.09263400586787611,0.5214400788303465,0.9029663540925004,,,,0
large,sensor_noise,1,clahe,80,0.09646219061687589,0.5194615327753127,0.899748823081324,,,,0
large,sensor_noise,1,zero_dce,80,0.09317751929629595,0.5230103199835867,0.9020858693291443,,,,0
large,sensor_noise,3,none,80,0.09607143041212111,0.5274855296593159,0.9019224853515626,,,,0
large,sensor_noise,3,clahe,80,0.09899725038558245,0.5195439203176647,0.8971789583317863,,,,0
large,sensor_noise,3,zero_dce,80,0.09648676770739258,0.5265807757154107,0.899280029296875,,,,0
large,sensor_noise,5,none,80,0.10031815473921597,0.5323767518624664,0.8954174397786459,,,,0
large,sensor_noise,5,clahe,80,0.1047911717556417,0.527343743108213,0.8818453776041666,,,,0
large,sensor_noise,5,zero_dce,80,0.10107933240942657,0.5334750042296946,0.893236572265625,,,,0
large,blur,1,none,80,0.08961711346637458,0.5136335325427354,0.9106590475509584,,,,0
large,blur,1,clahe,80,0.0935242990963161,0.5120279540773481,0.9066416415436901,,,,0
large,blur,1,zero_dce,80,0.09161002256441861,0.5242414774373174,0.9078054606119792,,,,0
large,blur,3,none,80,0.08839398738928139,0.48749835267663,0.9111776936848959,,,,0
large,blur,3,clahe,80,0.09080291823484003,0.4790273966733366,0.9084295247395833,,,,0
large,blur,3,zero_dce,80,0.08900697494391352,0.49039266500622036,0.9088513997395834,,,,0
large,blur,5,none,80,0.08630342327523977,0.44459738563746215,0.9101905924479168,,,,0
large,blur,5,clahe,80,0.0927024835953489,0.4658433553297073,0.9033155110677085,,,,0
large,blur,5,zero_dce,80,0.08691697400063277,0.4430238245055079,0.9086539306640624,,,,0
large,clean,0,none,80,0.08912603834178298,0.5115153072867542,0.9120307914496841,,,,0
large,clean,0,clahe,80,0.09156822399236261,0.5064243969041854,0.9093745185129511,,,,0
large,clean,0,zero_dce,80,0.09065552751999348,0.5186487813014538,0.9091429850260416,,,,0
